ADF-SOI | ADF-SOI | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/CSTDM | CSTDM | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/DARCH | DARCH | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/DIAS | DIAS | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/DIAS/NatOps | NatOps | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/DIAS/NatOps/EMI_NatOps_DBX | EMI_NatOps_DBX | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/EASPB | EASPB | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/EMI_NatOps | EMI_NatOps | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ENCRI | ENCRI | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/FSC | FSC | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/HPDT | HPDT | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/HTS | HTS | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/IICS | IICS | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/IICS/IICS-API | iics_api | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/IICS/IICS-API/archive | archive | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/IICS/IICS-API/archive/Auxiliary | Aux-Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/IICS/IICS-API/archive/test_trigger | test trigger | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/IICS/old | Old | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/IICS/old/IICS pull All | IICS pull All | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/ITOM | ITOM | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/MMT | MMT | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/MTP | MTP | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/NATLF | NATLF | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/SHLTH | SHLTH | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/Snowflake Testing | Snowflake Testing | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ASD/TMP | TMP | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPCMPCPIE | CPCMPCPIE | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT | CPXENVIRONMENT | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPX-PMTCORE-BACKUP | CPX-PMTCORE-BACKUP | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPX-PMTCORE-BACKUP/CPXPAYMENTCORE | CPXPAYMENTCORE | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPX_PrePilot | CPX_PrePilot | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPXQATESTING |  CPXQATESTING | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPXQATESTING/archival | archival | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPXQATESTING/cpx-epims-adapter-qa-automation | cpx-epims-adapter-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPXQATESTING/cpx-kpd-th-qa-automation | cpx-kpd-th-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPXQATESTING/cpx-pmtcore-ach-qa-automation | cpx-pmtcore-ach-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXENVIRONMENT/CPXQATESTING/cpx-pmtcore-cardtxn-qa-automation | cpx-pmtcore-cardtxn-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXPAYMENTCORE | CPXPAYMENTCORE | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXPAYMENTCORE/QA-Automation | QA-Automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXPAYMENTCORE/releaseAutomation | releaseAutomation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXPAYMENTCORE/TESTJOBS | TESTJOBS | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXPHARMACY | CPXPHARMACY | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING |  CPXQATESTING | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival | archival | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-cpx-ewallet-qa-automation | z-cpx-ewallet-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-cpx-kmate-adapter | z-cpx-kmate-adapter | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-cpx-kpd-th-qa-automation | z-cpx-kpd-th-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-cpx-mychart-qa-automation | z-cpx-mychart-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-cpx-pcs-epims-adapter-qa-automation-old | z-cpx-pcs-epims-adapter-qa-automation-old | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-cpx-pmtcore-ach-qa-automation | z-cpx-pmtcore-ach-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-cpx-pmtcore-cardtxn-qa-automation | z-cpx-pmtcore-cardtxn-qa-automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/archival/z-s2p-integrations-qa-automation-old | z-s2p-integrations-qa-automation-old | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXQATESTING/QA-Automation | QA-Automation | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXSKILLNET | CPXSKILLNET | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/CPXSKILLNET/DevOpsTesting | DevOpsTesting | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/ETG | ETG | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/FHIR-POC | FHIR-POC | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/KG-Package | KG Package | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/MPS-PIE | MPS-PIE | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/NFST | NFST | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/NFST/GRCR | GRCR | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/NFST/GRCR/KPRB | KPRB | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/NFST/KPRB | KPRB | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/NFST/Legal | Legal | class com.cloudbees.hudson.plugins.folder.Folder
CS-IT/RADA | RADA | class com.cloudbees.hudson.plugins.folder.Folder
csg-devops | csg-devops | class com.cloudbees.hudson.plugins.folder.Folder
csg-devops/artifactory | artifactory | class com.cloudbees.hudson.plugins.folder.Folder
csg-devops/github | github | class com.cloudbees.hudson.plugins.folder.Folder
CSG | Cloud Services Group | class com.cloudbees.hudson.plugins.folder.Folder
CSG/AKS | AKS | class com.cloudbees.hudson.plugins.folder.Folder
CSG/AKS/base-images | base-images | class com.cloudbees.hudson.plugins.folder.Folder
CSG/BaseImages | BaseImages | class com.cloudbees.hudson.plugins.folder.Folder
CSG/csg-terraform-pipelines | DO NOT ARCHIVE csg-terraform-pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CSG/csg-terraform-pipelines/DO NOT ARCHIVE terraform-sub-project | DO NOT ARCHIVE terraform-sub-project | class com.cloudbees.hudson.plugins.folder.Folder
CSG/Devops | Devops | class com.cloudbees.hudson.plugins.folder.Folder
CSG/Devops/Atlassian-Automation | Atlassian-Automation | class com.cloudbees.hudson.plugins.folder.Folder
CSG/Post-Hook | Post-Hook | class com.cloudbees.hudson.plugins.folder.Folder
CSG/ScanBaseImages-PR | ScanBaseImages-PR | class com.cloudbees.hudson.plugins.folder.Folder
CSG/Thilak | Thilak | class com.cloudbees.hudson.plugins.folder.Folder
CSG/Thilak/AKS-Vendor | AKS-Vendor | class com.cloudbees.hudson.plugins.folder.Folder
CSG/Thilak/hooks | hooks | class com.cloudbees.hudson.plugins.folder.Folder
CSG/Thilak/sharedLibs | sharedLibs | class com.cloudbees.hudson.plugins.folder.Folder
CSIT-DA | CSIT-DA | class com.cloudbees.hudson.plugins.folder.Folder
CSIT-DA/DSP-SharedTenant | DSP Shared Tenant | class com.cloudbees.hudson.plugins.folder.Folder
CSIT-DA/DSP-SharedTenant/DSP-Dashboard | DSP Dashboard | class com.cloudbees.hudson.plugins.folder.Folder
CSIT-DA/DSP | DSP | class com.cloudbees.hudson.plugins.folder.Folder
CSIT-DA/DSP/ClientApp | Client App | class com.cloudbees.hudson.plugins.folder.Folder
CSIT-DA/DSP/DSP-API | DSP API | class com.cloudbees.hudson.plugins.folder.Folder
CSIT-DA/Gurobi | Gurobi | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI | CTO-EA-SOI | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework | CTO-EA-SOI-Framework | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline | ADF-NonProd-PROD-Pipeline | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/AKS-FHIR | AKS-FHIR | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/Astronomer-Dags | Astronomer-Dags | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/COHORT | COHORT | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/DAU-DUF | DAU-DUF | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/FHIR-Applications | ADF-FHIR-Application-Pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/Get_PODS | Get_PODS | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/KP-ADF-SOI-INSIGHT_DRIVEN | KP-ADF-SOI-INSIGHT_DRIVEN | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/Message_Classification | Message Classification | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/Model Manager Crons | Model Manager Crons | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/NCAP | NCAP | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/QnA_Self_Service_Tool | QnA_Self_Service-Tool | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/Starburst-Trino | Starburst-Trino-Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/ADF-NonProd-PROD-Pipeline/TogetLogs | TogetLogs | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/AKSDeployments | AKSDeployments | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/AKSDeployments/ABC | ABC | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/AKSDeployments/Arria | Arria | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/AKSDeployments/Gurobi | Gurobi | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/AKSDeployments/InsightDriven | InsightDriven | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/AKSDeployments/MMT | MMT | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/AKSDeployments/snorkel | Snorkel | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/Ansible-Framework-deployment | Ansible-Framework-deployment | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/EA-SOI-PDR-SUITE | EA-SOI-PDR-SUITE | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/EDPCoverage | EDPCoverage | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components | HDI4-Framework-Components | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES | ADF_SELF_SERVICE_PIPELINES | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/ADF | ADF | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/Astronomer | Astronomer | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/DAU | DAU | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/DAUAgreement | DAUAgreement | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/EDP-EMILOAD | EDP-EMILOAD | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/EDP-EMILOAD/EDP-EMIload View Pipelines | EDP-EMIload View Pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/EDP-Libraries | EDP-Libraries | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/EDP-MMLOAD | EDP-MMLOAD | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/EDP-MMLOAD/EDP-MMload View Pipelines | EDP-MMload View Pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/ETG_GROUPER | ETG_GROUPER | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD | FD | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD/NPE | NPE | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD/PROD | PROD | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD/PROD/Watcher_Restart | Watcher_Restart | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD/PSUP | PSUP | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD_Tech_Validation | FD_Tech_Validation | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD_Tech_Validation/Clarity-AllTable-Pipelines | Clarity-AllTable-Pipelines | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD_Tech_Validation/ClarityReconpipelines | ClarityReconpipelines | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FD_Tech_Validation/Metadata Extraction | Metadata Extraction | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/FileUploadToADLS | FileUploadToADLS | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/Hdfs_commands_new | Hdfs_commands_new | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT | HPDT | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT/NPE | NPE | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT/NPE/HPDT-DEV | HPDT-DEV | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT/NPE/HPDT-DEV/Watcher_Restart | Watcher_Restart | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT/NPE/HPDT-UAT | HPDT-UAT | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT/NPE/HPDT-UAT/Watcher_Restart | Watcher_Restart | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT/PROD | PROD | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/HPDT/PROD/Watcher_Restart | Watcher_Restart | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/InsightDrivenRepo | InsightDrivenRepo | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/ADF_SELF_SERVICE_PIPELINES/Rstudio | Rstudio | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/AKS-DEPLOYMENTS | AKS-DEPLOYMENTS | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/AKS-KUBE-TEST | AKS-KUBE-TEST | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/HDI_sync_etc-hosts_hbase-site-xml | HDI_sync_etc-hosts_hbase-site-xml | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/InsightDriven-Hbase | InsightDriven-Hbase | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/KP-ABC-AKS | KP-ABC-AKS | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/HDI4-Framework-Components/KP-AKS-ChatBox | KP-AKS-ChatBox | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/KPD-Airflow | KPD Airflow Deployments | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/NexusAndWhiteHat | NexusAndWhiteHat | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Framework/Password_expiry_reset | Password_expiry_reset | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure | CTO-EA-SOI-Infrastructure | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure/NCAP-INFRA-PERF | NCAP-INFRA-PERF | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure/Selfservice-Devtest | Selfservice-Devtest | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure/Selfservice-Nonprod | Selfservice-Nonprod | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure/Selfservice-Prod | Selfservice-Prod | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure/Selfservice-Prodsup | Selfservice-Prodsup | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure/SOI-SelfService-Nonprod | SOI-SelfService-Nonprod | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Infrastructure/SOI-SelfService-Prod | SOI-SelfService-Prod | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Utilities | CTO-EA-SOI-Utilities | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Utilities/Coverage | Coverage | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/CTO-EA-SOI-Utilities/Misc | Misc | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/HPDT-HDFS-Commands | HPDT-HDFS-Commands | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/HPDT-HDFS-Commands/EDP-GEN2-HDFS-Commands | EDP-GEN2-HDFS-Commands | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EA-SOI/SelfService | SelfService | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS | CTO-EIS | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/aks-secrets-management | aks-secrets-management | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/Az-NextGen | Az-NextGen | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/Bluemix-Util-Jobs | Bluemix-Util-Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/Nextgen Azure Utility Jobs | Nextgen Azure Utility Jobs | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/Nextgen | Nextgen | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/NextgenUI and E2E | NextgenUI and E2E | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/nlu-utility-jobs | nlu-utility-jobs | class com.cloudbees.hudson.plugins.folder.Folder
CTO-EIS/Shared-Flows | Apigee Shared Flows | class com.cloudbees.hudson.plugins.folder.Folder
CTO-KPX | CTO-KPX | class com.cloudbees.hudson.plugins.folder.Folder
CTO-KPX/Bluemix-Util-Jobs | Bluemix-Util-Jobs | class com.cloudbees.hudson.plugins.folder.Folder
DA-CIF | DA-CIF | class com.cloudbees.hudson.plugins.folder.Folder
DA-CIF/DataBricks-Pipelines | DataBricks-Pipelines | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics | Data-Analytics | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-DataOps | DA-DataOps | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-DataScience | DA-DataScience | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-DataScience/AADS-MIAP | AADS-MIAP | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-DataScience/AADS-MIRAI | AADS-MIRAI | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-DataScience/KP-GPT | KP-GPT | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-DbxDataIntegration | DA-DbxDataIntegration | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-DevOps | DA-DevOps | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-KEAPCDF | DA-KEAPCDF | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-MMT | DA-MMT | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-Security | DA-Security | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-SharedEnrichment | DA-SharedEnrichment | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-SharedEnrichment/Master and Reference Pipelines |  Master and Reference | class com.cloudbees.hudson.plugins.folder.Folder
Data-Analytics/DA-SharedEnrichment/Optum | Optum | class com.cloudbees.hudson.plugins.folder.Folder
DCSS | DCSS | class com.cloudbees.hudson.plugins.folder.Folder
DCSS/DCSS-EWALLET | DCSS-EWALLET | class com.cloudbees.hudson.plugins.folder.Folder
DCSS/HRConnect | HRConnect | class com.cloudbees.hudson.plugins.folder.Folder
DCSS/MPS-CPC | MPS-CPC | class com.cloudbees.hudson.plugins.folder.Folder
DCSS/TDM | TDM | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS | DEVOPS | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/AKS Pipeline Test Applications | AKS Pipeline Test Applications | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/akshith | akshith | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Artifactory-Cleanup-Bluemix | Artifactory-Cleanup-Bluemix | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Artifactory-Cleanup-Bluemix/NPS | NPS | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Backups | Backups | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Crowd | Crowd | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/crowd_test | crowd_test | class com.cloudbees.hudson.plugins.folder.Folder
DEVOPS/Ephemeral_Agents | Ephemeral_Agents | class com.cloudbees.hudson.plugins.folder.Folder
